number_overall,number_in_season,season,title,essential_watching,quality_wbm,favourite_wbm,comments_wbm,broadcast_date,stardate,directors,writers
1,1,1,"Encounter at Farpoint, Part I",yes,meh,,,1987-09-28,41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry
2,2,1,"Encounter at Farpoint, Part II",yes,meh,,,1987-09-28,41153.7,Corey Allen,D. C. Fontana and Gene Roddenberry
3,3,1,The Naked Now,maybe,meh,,It seems the actors are having fun at least,1987-10-05,41209.2,Paul Lynch,Story by: John D. F. Black and D. C. Fontana[a] Teleplay by: D. C. Fontana[a]
4,4,1,Code of Honor,maybe,bad,,"very dated, bit problematic, a poor remake of TOS “Amok Time” (which is better)",1987-10-12,41235.25,Russ Mayberry,Katharyn Powers and Michael Baron
5,5,1,The Last Outpost,maybe,ok,,,1987-10-19,41386.4,Richard Colla,Story by: Richard Krzmeien Teleplay by: Herbert Wright
6,6,1,Where No One Has Gone Before,maybe,meh,,,1987-10-26,41263.1,Rob Bowman,Diane Duane and Michael Reaves
7,7,1,Lonely Among Us,maybe,meh,,,1987-11-02,41249.3,Cliff Bole,Story by: Michael Halperin Teleplay by: D. C. Fontana
8,8,1,Justice,yes,so bad it’s good?,,"not terrible, also has some good TNG campness, perhaps is a reference to TOS “A Taste of Armageddon” (which is better)",1987-11-09,41255.6,James L. Conway,Story by: John D. F. Black[b] and Worley Thorne Teleplay by: Worley Thorne
9,9,1,The Battle,yes,ok,,,1987-11-16,41723.9,Rob Bowman,Story by: Larry Forrester Teleplay by: Herbert Wright
10,10,1,Hide and Q,yes,awful,,,1987-11-23,41590.5,Cliff Bole,Story by: Maurice Hurley[c] Teleplay by: Maurice Hurley[c] and Gene Roddenberry
11,11,1,Haven,,meh,,,1987-11-30,41294.5,Richard Compton,Story by: Tracy Tormé and Lan O'Kun Teleplay by: Tracy Tormé
12,12,1,The Big Goodbye,maybe,meh,,ugh,1988-01-11,41997.7,Joseph L. Scanlan,Tracy Tormé
13,13,1,Datalore,yes,good,,,1988-01-18,41242.4,Rob Bowman,Story by: Robert Lewin and Maurice Hurley Teleplay by: Robert Lewin and Gene Roddenberry
14,14,1,Angel One,,,,,1988-01-25,41636.9,Michael Rhoades,Patrick Barry
15,15,1,11001001,yes,good,yes,mildly toughes on agender,1988-02-01,41365.9,Paul Lynch,Maurice Hurley and Robert Lewin
16,16,1,Too Short a Season,no,bad,,,1988-02-08,41309.5,Rob Bowman,Story by: Michael Michaelian Teleplay by: Michael Michaelian and D. C. Fontana
17,17,1,When the Bough Breaks,,,,,1988-02-15,41509.1,Kim Manners,Hannah Louise Shearer
18,18,1,Home Soil,yes,ok,,"basically a remake of the TOS episode The Devil in the Dark, which is better",1988-02-22,41463.9,Corey Allen,Story by: Karl Geurs & Ralph Sanchez and Robert Sabaroff Teleplay by: Robert Sabaroff
